Source,Run,Target,PICP,MPIW
grid,9,grid,0.5722222222222222,0.77836865
grid,9,tree,0.4803921568627451,0.9017687
grid,9,basic,0.365,0.8776577
grid,10,ER,0.4,0.69080573
grid,10,BA,0.605,0.62599623
grid,10,grid,0.6666666666666666,0.8289266
grid,10,tree,0.4215686274509804,0.7623429
grid,10,basic,0.47,0.7970402
tree,1,ER,0.495,0.42736474
tree,1,BA,0.12,0.47280562
tree,1,grid,0.6444444444444445,0.40318844
tree,1,tree,0.9411764705882353,0.4451782
tree,1,basic,0.31,0.44346213
tree,2,ER,0.54,0.38264126
tree,2,BA,0.105,0.36486205
tree,2,grid,0.5111111111111111,0.36850578
tree,2,tree,0.9411764705882353,0.36968452
tree,2,basic,0.245,0.28452367
tree,3,ER,0.665,0.5098503
tree,3,BA,0.13,0.5484862
tree,3,grid,0.4777777777777778,0.38749176
tree,3,tree,0.9313725490196079,0.44925332
tree,3,basic,0.36,0.47667894
tree,4,ER,0.54,0.43263793
tree,4,BA,0.09,0.37476218
tree,4,grid,0.5166666666666667,0.41460747
tree,4,tree,0.9411764705882353,0.4081648
tree,4,basic,0.205,0.35710725
tree,5,ER,0.545,0.44190827
tree,5,BA,0.12,0.38397104
tree,5,grid,0.49444444444444446,0.328118
tree,5,tree,0.8529411764705882,0.3275063
tree,5,basic,0.24,0.33288842
tree,6,ER,0.48,0.40425482
tree,6,BA,0.11,0.34545848
tree,6,grid,0.46111111111111114,0.332381
tree,6,tree,0.9117647058823529,0.35191935
tree,6,basic,0.2,0.26505485
tree,7,ER,0.605,0.4554076
tree,7,BA,0.095,0.4017905
tree,7,grid,0.6388888888888888,0.43360662
tree,7,tree,0.9509803921568627,0.38967437
tree,7,basic,0.26,0.33197525
tree,8,ER,0.595,0.44796857
tree,8,BA,0.09,0.2788686
tree,8,grid,0.5,0.3410385
tree,8,tree,0.7647058823529411,0.35231104
tree,8,basic,0.165,0.21685559
tree,9,ER,0.54,0.37387085
tree,9,BA,0.085,0.32795957
tree,9,grid,0.6611111111111111,0.40464222
tree,9,tree,0.8823529411764706,0.3725314
tree,9,basic,0.235,0.32571873
tree,10,ER,0.62,0.42389396
tree,10,BA,0.1,0.38578865
tree,10,grid,0.7388888888888889,0.44765937
tree,10,tree,0.9411764705882353,0.43921503
tree,10,basic,0.275,0.35474274
basic,1,ER,0.275,0.4040706
basic,1,BA,0.1,0.30606607
basic,1,grid,0.8277777777777777,0.50487643
basic,1,tree,0.43137254901960786,0.4799601
basic,1,basic,0.9,0.4018233
basic,2,ER,0.275,0.4040705
basic,2,BA,0.1,0.30606595
basic,2,grid,0.8277777777777777,0.50487655
basic,2,tree,0.43137254901960786,0.47996008
basic,2,basic,0.9,0.40182328
basic,3,ER,0.275,0.4040706
basic,3,BA,0.1,0.30606607
basic,3,grid,0.8277777777777777,0.50487655
basic,3,tree,0.43137254901960786,0.47996017
basic,3,basic,0.9,0.4018233
basic,4,ER,0.275,0.4040706
basic,4,BA,0.1,0.3060661
basic,4,grid,0.8277777777777777,0.50487655
basic,4,tree,0.43137254901960786,0.47996017
basic,4,basic,0.9,0.40182334
basic,5,ER,0.275,0.4040705
basic,5,BA,0.1,0.30606598
basic,5,grid,0.8277777777777777,0.50487643
basic,5,tree,0.43137254901960786,0.47996008
basic,5,basic,0.9,0.40182322
basic,6,ER,0.275,0.40407056
basic,6,BA,0.1,0.30606598
basic,6,grid,0.8277777777777777,0.50487643
basic,6,tree,0.43137254901960786,0.47996008
basic,6,basic,0.9,0.40182328
basic,7,ER,0.275,0.40407068
basic,7,BA,0.1,0.30606616
basic,7,grid,0.8277777777777777,0.5048765
basic,7,tree,0.43137254901960786,0.47996017
basic,7,basic,0.9,0.40182334
basic,8,ER,0.275,0.40407047
basic,8,BA,0.1,0.30606595
basic,8,grid,0.8277777777777777,0.5048765
basic,8,tree,0.43137254901960786,0.47996008
basic,8,basic,0.9,0.40182322
basic,9,ER,0.275,0.4040706
basic,9,BA,0.1,0.306066
basic,9,grid,0.8277777777777777,0.50487655
basic,9,tree,0.43137254901960786,0.4799602
basic,9,basic,0.9,0.40182334
basic,10,ER,0.275,0.40407068
basic,10,BA,0.1,0.30606616
basic,10,grid,0.8277777777777777,0.50487643
basic,10,tree,0.43137254901960786,0.4799601
basic,10,basic,0.9,0.40182334
