config,run,test_PCIP,test_MPIW,test_CWC,loss_sample,loss_coverage,loss_width,train_time_sec,gpu_mem_MB,param_count
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.795,0.14960784,0.5822500654989413,0.001375710591673851,0.0012249976862221956,0.006674668285995722,1.86,65.78,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.82,0.19839169,0.6455922509301603,0.0011488174786791205,0.0002640629536472261,0.008582641370594501,1.84,65.78,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.745,0.14301677,0.8240757780330205,0.0003531516995280981,0.0009000018471851945,0.006960653699934483,1.84,65.78,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.845,0.19183181,0.5289720587760905,0.0003295967762824148,0.006006247829645872,0.010100457817316055,1.83,65.78,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.765,0.111075096,0.5443210204005964,0.0007243567379191518,0.0014062518021091819,0.00508566340431571,1.83,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),0,0.99,1.1627076,1.6499242890496506,0.0,0.0,0.0,2.02,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),1,0.99,1.1347108,1.6101957680721177,0.0,0.0,0.0,2.72,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),2,1.0,1.1807343,1.6294170364646199,0.0,0.0,0.0,2.24,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),3,0.99,1.1143334,1.5812795095544656,0.0,0.0,0.0,2.52,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),4,1.0,1.1838353,1.6336964864107972,0.0,0.0,0.0,2.43,65.78,9090
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.865,0.20000003,0.48810173008741325,5.349272760213353e-05,0.007656245958060026,0.010000000707805157,1.95,65.78,9025
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.875,0.20000003,0.46085391790618435,0.00023596921528223902,0.0036000001709908247,0.009999999776482582,1.79,65.78,9025
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.89,0.20000003,0.42476596730007316,4.938321217196062e-05,0.0087890625,0.009999999776482582,1.78,65.78,9025
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.855,0.20000003,0.5182152196912949,0.00016659212997183204,0.007439063861966133,0.010000001639127731,1.79,65.78,9025
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.89,0.20000003,0.42476596730007316,0.000745635072235018,0.0005062490236014128,0.010000000707805157,1.73,65.78,9025
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),0,0.83,0.13304995,0.40453360918998915,0.0005399040528573096,0.0,0.005687166005373001,2.75,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),1,0.84,0.1387384,0.39500647243248965,0.0009739845991134644,0.0,0.00593294994905591,2.75,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),2,0.86,0.12928855,0.32501982975431704,0.00039100332651287317,0.0,0.0056792194955050945,2.39,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),3,0.8,0.113833696,0.4270172399892965,0.00045658601447939873,0.0,0.00472569465637207,2.75,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),4,0.835,0.1519857,0.4470479944289309,0.0006891920347698033,0.0,0.006533152889460325,2.69,65.78,9090
