config,run,test_PCIP,test_MPIW,test_CWC,loss_sample,loss_coverage,loss_width,train_time_sec,gpu_mem_MB,param_count
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.7,0.30288905,2.6741578393437933,0.0027428625617176294,0.0002640629536472261,0.016260569915175438,2.13,65.81,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.795,0.3216817,1.3059895116077485,0.0020704781636595726,2.4999952074722387e-05,0.01674630679190159,2.15,65.81,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.64,0.31601128,4.810314651681115,0.002669523935765028,1.4062697118788492e-05,0.021513579413294792,1.98,65.81,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.64,0.29488906,4.48879309313315,0.0023755787406116724,1.5625714695488568e-06,0.01710178516805172,2.13,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),0,0.965,1.1257188,1.80321700253127,4.4606625237975095e-07,0.0,0.0,1.86,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),1,0.965,1.2214825,1.9566147790595692,0.0,0.0,0.0,1.99,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),2,0.965,1.1434695,1.8316505962372152,0.0,0.0,0.0,1.97,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),3,0.965,1.1477758,1.8385486580301729,0.0,0.0,0.0,1.98,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),4,0.965,1.1532336,1.8472912591515334,0.0,0.0,0.0,1.97,65.81,9090
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.705,0.20000003,1.6899155251567055,0.022020427510142326,0.009506243281066418,0.009999999776482582,2.03,65.81,9025
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.725,0.20000003,1.421740205216615,0.02371513843536377,0.009506243281066418,0.010000001639127731,2.03,65.81,9025
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.715,0.20000002,1.5491289539227953,0.022383157163858414,0.0072249965742230415,0.009999999776482582,2.07,65.81,9025
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.71,0.20000002,1.6177627156161518,0.02243844047188759,0.008556244894862175,0.009999999776482582,2.05,65.81,9025
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.74,0.20000003,1.2530219683810597,0.022574931383132935,0.010764060541987419,0.009999999776482582,2.07,65.81,9025
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),0,0.925,0.43259278,0.8098357321640999,0.003817836055532098,0.0,0.02114725671708584,2.12,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),1,0.955,0.5232222,0.8683491998654854,0.004022833425551653,0.0,0.02407211810350418,2.1,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),2,0.945,0.5191528,0.8947483059522632,0.004195006564259529,0.0,0.023227442055940628,2.11,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),3,0.945,0.3369741,0.5807673366679192,0.0017848140560090542,0.0,0.014523840509355068,2.1,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),4,0.785,0.341452,1.4942547838179965,0.0030833606142550707,0.0,0.017367370426654816,2.11,65.81,9090
